OD_ORIGIN_AIRPRT_IATA_CD,OD_DESTNTN_AIRPRT_IATA_CD,AIRPORT_NM,OD_DEP_CITY_METRO_CD,OD_ARVL_CITY_METRO_CD,CITY,CNTRY_CD,STATE_PROVNC_CD
AAA,AAA,Anaa,AAA,AAA,Anaa,PF,
AAB,AAB,Arrabury,AAB,AAB,Arrabury,AU,QL
AAC,AAC,El Arish International,AAC,AAC,El Arish,EG,
AAD,AAD,Adado,AAD,AAD,Adado,SO,
AAE,AAE,Rabah Bitat,AAE,AAE,Annaba,DZ,
AAF,AAF,Apalachicola Regional,AAF,AAF,Apalachicola,US,FL
AAG,AAG,Avelino Vieira,AAG,AAG,Arapoti,BR,PR
AAI,AAI,Arraias,AAI,AAI,Arraias,BR,TO
AAJ,AAJ,Cajana,AAJ,AAJ,Awaradam,SR,
AAK,AAK,Aranuka,AAK,AAK,Aranuka,KI,
AAL,AAL,Aalborg Airport,AAL,AAL,Aalborg,DK,
AAM,AAM,Mala Mala,AAM,AAM,Mala Mala,ZA,
AAN,AAN,Al Ain International,AAN,AAN,Al Ain,AE,
AAO,AAO,Anaco,AAO,AAO,Anaco,VE,
AAP,AAP,AP Tumenggung Pranoto,SRI,SRI,Samarinda,ID,
AAQ,AAQ,Vityazevo,AAQ,AAQ,Anapa,RU,
AAR,AAR,Aarhus Airport,AAR,AAR,Aarhus,DK,
AAS,AAS,Apalapsili,AAS,AAS,Apalapsili,ID,
AAT,AAT,Altay,AAT,AAT,Altay,CN,
AAU,AAU,Asau,AAU,AAU,Asau,WS,
AAV,AAV,Allah Valley,AAV,AAV,Surallah,PH,
AAX,AAX,Araxa,AAX,AAX,Araxa,BR,MG
AAY,AAY,Al Ghaydah,AAY,AAY,Al Ghaydah,YE,
AAZ,AAZ,Quetzaltenango,AAZ,AAZ,Quetzaltenango,GT,
ABA,ABA,Abakan,ABA,ABA,Abakan,RU,
ABB,ABB,Asaba International,ABB,ABB,Asaba,NG,
ABC,ABC,Albacete Airport,ABC,ABC,Albacete,ES,
ABD,ABD,Abadan,ABD,ABD,Abadan,IR,
ABE,ABE,Lehigh Valley Intl,ABE,ABE,Allentown,US,PA
ABF,ABF,Abaiang,ABF,ABF,Abaiang,KI,
ABG,ABG,Abingdon Downs,ABG,ABG,Abingdon Downs,AU,QL
ABH,ABH,Alpha,ABH,ABH,Alpha,AU,QL
ABI,ABI,Abilene Regional,ABI,ABI,Abilene,US,TX
ABJ,ABJ,Felix Houphouet-Boigny,ABJ,ABJ,Abidjan,CI,
ABK,ABK,Kebri Dehar,ABK,ABK,Kebri Dehar,ET,
ABL,ABL,Ambler,ABL,ABL,Ambler,US,AK
ABM,ABM,Northern Peninsula,ABM,ABM,Bamaga,AU,QL
ABN,ABN,Albina,ABN,ABN,Albina,SR,
ABO,ABO,Aboisso,ABO,ABO,Aboisso,CI,
ABP,ABP,Atkamba,ABP,ABP,Atkamba,PG,
ABQ,ABQ,International Sunport,ABQ,ABQ,Albuquerque,US,NM
ABR,ABR,Aberdeen Regional,ABR,ABR,Aberdeen,US,SD
ABS,ABS,Abu Simbel,ABS,ABS,Abu Simbel,EG,
ABT,ABT,Al-Aqiq,ABT,ABT,Al Baha,SA,
ABU,ABU,Haliwen,ABU,ABU,Atambua,ID,
ABV,ABV,Nnamdi Azikiwe Intl,ABV,ABV,Abuja,NG,
ABW,ABW,Abau,ABW,ABW,Abau,PG,
ABX,ABX,Albury,ABX,ABX,Albury,AU,NS
ABY,ABY,Southwest Georgia Rgnl,ABY,ABY,Albany,US,GA
ABZ,ABZ,Dyce,ABZ,ABZ,Aberdeen,GB,
ACA,ACA,Juan N. Alvarez Intl,ACA,ACA,Acapulco,MX,
ACB,ACB,Antrim County,ACB,ACB,Bellaire,US,MI
ACC,ACC,Kotoka Intl,ACC,ACC,Accra,GH,
ACD,ACD,Alcides Fernandez,ACD,ACD,Acandi,CO,
ACE,ACE,Lanzarote,ACE,ACE,Lanzarote,ES,
ACH,ACH,St Gallen-Altenrhein,ACH,ACH,Altenrhein,CH,
ACI,ACI,Alderney,ACI,ACI,Alderney,GG,
ACJ,ACJ,Anuradhapura,ACJ,ACJ,Anuradhapura,LK,
ACK,ACK,Nantucket Memorial,ACK,ACK,Nantucket,US,MA
ACL,ACL,Aguaclara,ACL,ACL,Aguaclara,CO,
ACM,ACM,Arica,ACM,ACM,Arica,CO,
ACN,ACN,Ciudad Acuna International,ACN,ACN,Ciudad Acuna,MX,
ACP,ACP,Sahand,ACP,ACP,Maragheh,IR,
ACR,ACR,Araracuara,ACR,ACR,Araracuara,CO,
ACS,ACS,Achinsk,ACS,ACS,Achinsk,RU,
ACT,ACT,Waco Regional,ACT,ACT,Waco,US,TX
ACV,ACV,Arcata Apt,ACV,ACV,Arcata/Eureka,US,CA
ACX,ACX,Xingyi,ACX,ACX,Xingyi,CN,
ACY,ACY,Atlantic City International,ACY,ACY,Atlantic City,US,NJ
ACZ,ACZ,Zabol,ACZ,ACZ,Zabol,IR,
ADA,ADA,Sakirpasa,ADA,ADA,Adana,TR,
ADB,ADB,Adnan Menderes,IZM,IZM,Izmir,TR,
ADC,ADC,Andakombe,ADC,ADC,Andakombe,PG,
ADD,ADD,Bole Intl,ADD,ADD,Addis Ababa,ET,
ADE,ADE,Aden International,ADE,ADE,Aden,YE,
ADF,ADF,Adiyaman,ADF,ADF,Adiyaman,TR,
ADG,ADG,Lenawee County,ADG,ADG,Adrian,US,MI
ADH,ADH,Aldan,ADH,ADH,Aldan,RU,
ADI,ADI,Arandis,ADI,ADI,Arandis,NA,
ADJ,ADJ,Marka Intl,AMM,AMM,Amman,JO,
ADK,ADK,Adak Island,ADK,ADK,Adak Island,US,AK
ADL,ADL,Adelaide International,ADL,ADL,Adelaide,AU,SA
ADM,ADM,Ardmore Municipal,ADM,ADM,Ardmore,US,OK
ADN,ADN,Andes,ADN,ADN,Andes,CO,
ADO,ADO,Andamooka,ADO,ADO,Andamooka,AU,SA
ADP,ADP,Gal Oya,ADP,ADP,Ampara,LK,
ADQ,ADQ,Kodiak Airport,ADQ,ADQ,Kodiak,US,AK
ADR,ADR,Robert F. Swinnie,ADR,ADR,Andrews,US,SC
ADS,ADS,Addison,DFW,DFW,Dallas,US,TX
ADT,ADT,Ada Municipal,ADT,ADT,Ada,US,OK
ADU,ADU,Ardabil,ADU,ADU,Ardabil,IR,
ADW,ADW,Joint Base Andrews,ADW,ADW,Camp Springs,US,MD
ADX,ADX,Leuchars RAF,ADX,ADX,St Andrews,GB,
ADY,ADY,Alldays,ADY,ADY,Alldays,ZA,
ADZ,ADZ,Gustavo R. Pinilla Int,ADZ,ADZ,San Andres Island,CO,
AEA,AEA,Abemama,AEA,AEA,Abemama,KI,
AEB,AEB,Youjiang,AEB,AEB,Baise,CN,
AEE,AEE,Adareil,AEE,AEE,Adareil,SS,
AEG,AEG,Aekgodang,AEG,AEG,Padangsidempuan,ID,
AEH,AEH,Abeche,AEH,AEH,Abeche,TD,
AEK,AEK,Aseki,AEK,AEK,Aseki,PG,
AEL,AEL,Albert Lea Municipal,AEL,AEL,Albert Lea,US,MN
AEO,AEO,Aioun El Atrouss,AEO,AEO,Aioun el Atrouss,MR,
AEP,AEP,Jorge Newbery,BUE,BUE,Buenos Aires,AR,BA
AEQ,AEQ,Ar Horqin,CIF,CIF,Chifeng,CN,
AER,AER,Sochi International,AER,AER,Sochi,RU,
AES,AES,Vigra,AES,AES,Alesund,NO,
AET,AET,Allakaket,AET,AET,Allakaket,US,AK
AEU,AEU,Abu Musa Island,AEU,AEU,Abu Musa Island,IR,
AEX,AEX,Alexandria International,AEX,AEX,Alexandria,US,LA
AEY,AEY,Akureyri,AEY,AEY,Akureyri,IS,
AFA,AFA,San Rafael,AFA,AFA,San Rafael,AR,MD
AFD,AFD,Port Alfred,AFD,AFD,Port Alfred,ZA,
AFF,AFF,USAF Academy Airfield,COS,COS,Colorado Springs,US,CO
AFI,AFI,Amalfi,AFI,AFI,Amalfi,CO,
AFK,AFK,Kondavattavan Tank SPB,ADP,ADP,Ampara,LK,
AFL,AFL,Oswaldo Marques Dias,AFL,AFL,Alta Floresta,BR,MT
AFN,AFN,Silver Ranch,AFN,AFN,Jaffrey,US,NH
AFO,AFO,Afton Municipal,AFO,AFO,Afton,US,WY
AFR,AFR,Afore,AFR,AFR,Afore,PG,
AFS,AFS,Zarafshan,AFS,AFS,Zarafshan,UZ,
AFT,AFT,Afutara,AFT,AFT,Afutara,SB,
